name1,name2,dxy
Army,Army,0.00122697
Army,Conness,0.003820986
Army,Crabtree,0.001329458
Army,Donohue,0.003485391
Army,Dusy,0.002854978
Army,FRecess,0.003205054
Army,HungryP,0.003066635
Army,Italy,0.003208551
Army,Kuna,0.003612222
Army,Lamarck,0.003127688
Army,Lyell,0.003486855
Army,Millys,0.001788371
Army,Monarch,0.00150132
Army,NForester,0.001642697
Army,Ottoway,0.0035648
Army,Pear,0.001675086
Army,Piute,0.003142895
Army,Ritter,0.0033476
Army,Ruby,0.003204528
Army,SamMack,0.002791764
Army,Selden,0.003247497
Army,SForester,0.001580265
Army,Sixty,0.002353906
Army,Sphinx,0.001890143
Army,Taboose,0.00255004
Army,Treasure,0.003005586
Army,Wright,0.001458711
Conness,Conness,0.000877411
Conness,Crabtree,0.00373114
Conness,Donohue,0.00187662
Conness,Dusy,0.002892578
Conness,FRecess,0.002937461
Conness,HungryP,0.002865795
Conness,Italy,0.002944969
Conness,Kuna,0.001453933
Conness,Lamarck,0.002900382
Conness,Lyell,0.001845686
Conness,Millys,0.003369113
Conness,Monarch,0.003660496
Conness,NForester,0.003486602
Conness,Ottoway,0.001617545
Conness,Pear,0.003590139
Conness,Piute,0.002910821
Conness,Ritter,0.002298298
Conness,Ruby,0.002890968
Conness,SamMack,0.0029525
Conness,Selden,0.002994023
Conness,SForester,0.003590956
Conness,Sixty,0.00308541
Conness,Sphinx,0.003419379
Conness,Taboose,0.003040139
Conness,Treasure,0.00284949
Conness,Wright,0.003709804
Crabtree,Crabtree,0.001273542
Crabtree,Donohue,0.003398506
Crabtree,Dusy,0.002769316
Crabtree,FRecess,0.003119127
Crabtree,HungryP,0.002979606
Crabtree,Italy,0.003121929
Crabtree,Kuna,0.003523763
Crabtree,Lamarck,0.003041825
Crabtree,Lyell,0.00339986
Crabtree,Millys,0.001720368
Crabtree,Monarch,0.001454238
Crabtree,NForester,0.001576616
Crabtree,Ottoway,0.003478385
Crabtree,Pear,0.001618892
Crabtree,Piute,0.003057522
Crabtree,Ritter,0.003259034
Crabtree,Ruby,0.003117894
Crabtree,SamMack,0.002707753
Crabtree,Selden,0.003163668
Crabtree,SForester,0.00151736
Crabtree,Sixty,0.002274073
Crabtree,Sphinx,0.001826763
Crabtree,Taboose,0.002466501
Crabtree,Treasure,0.002918581
Crabtree,Wright,0.001401696
Donohue,Donohue,0.001810317
Donohue,Dusy,0.002375164
Donohue,FRecess,0.0022795
Donohue,HungryP,0.002279575
Donohue,Italy,0.002293585
Donohue,Kuna,0.001810113
Donohue,Lamarck,0.002291021
Donohue,Lyell,0.001809702
Donohue,Millys,0.003008207
Donohue,Monarch,0.003323846
Donohue,NForester,0.00313488
Donohue,Ottoway,0.001827778
Donohue,Pear,0.003249675
Donohue,Piute,0.002294639
Donohue,Ritter,0.001954231
Donohue,Ruby,0.002232638
Donohue,SamMack,0.002450547
Donohue,Selden,0.002325265
Donohue,SForester,0.00324295
Donohue,Sixty,0.002660868
Donohue,Sphinx,0.003048167
Donohue,Taboose,0.002589789
Donohue,Treasure,0.002298409
Donohue,Wright,0.003370569
Dusy,Dusy,0.001600292
Dusy,FRecess,0.001803211
Dusy,HungryP,0.001653921
Dusy,Italy,0.001817134
Dusy,Kuna,0.002616619
Dusy,Lamarck,0.001706964
Dusy,Lyell,0.002381952
Dusy,Millys,0.002367324
Dusy,Monarch,0.002696335
Dusy,NForester,0.002496881
Dusy,Ottoway,0.002546117
Dusy,Pear,0.002619545
Dusy,Piute,0.001734008
Dusy,Ritter,0.002103449
Dusy,Ruby,0.001790631
Dusy,SamMack,0.001677904
Dusy,Selden,0.001859204
Dusy,SForester,0.002605231
Dusy,Sixty,0.001972632
Dusy,Sphinx,0.002401497
Dusy,Taboose,0.001866363
Dusy,Treasure,0.001603429
Dusy,Wright,0.002737735
FRecess,FRecess,0.001403947
FRecess,HungryP,0.001583165
FRecess,Italy,0.001477115
FRecess,Kuna,0.002612552
FRecess,Lamarck,0.001563785
FRecess,Lyell,0.002291943
FRecess,Millys,0.002683255
FRecess,Monarch,0.003040368
FRecess,NForester,0.002823928
FRecess,Ottoway,0.002514622
FRecess,Pear,0.002958903
FRecess,Piute,0.001561099
FRecess,Ritter,0.001934902
FRecess,Ruby,0.001364626
FRecess,SamMack,0.001910426
FRecess,Selden,0.001500638
FRecess,SForester,0.002940093
FRecess,Sixty,0.002243428
FRecess,Sphinx,0.002715422
FRecess,Taboose,0.002134356
FRecess,Treasure,0.001657216
FRecess,Wright,0.003083719
HungryP,HungryP,0.00144199
HungryP,Italy,0.001587622
HungryP,Kuna,0.002570654
HungryP,Lamarck,0.001478444
HungryP,Lyell,0.002288661
HungryP,Millys,0.002544083
HungryP,Monarch,0.002902439
HungryP,NForester,0.002685672
HungryP,Ottoway,0.00248415
HungryP,Pear,0.0028244
HungryP,Piute,0.001499552
HungryP,Ritter,0.001975084
HungryP,Ruby,0.001557622
HungryP,SamMack,0.001752567
HungryP,Selden,0.001620154
HungryP,SForester,0.002801686
HungryP,Sixty,0.002109963
HungryP,Sphinx,0.002579367
HungryP,Taboose,0.001996985
HungryP,Treasure,0.001500677
HungryP,Wright,0.002945247
Italy,Italy,0.001373185
Italy,Kuna,0.002606782
Italy,Lamarck,0.001549888
Italy,Lyell,0.002304258
Italy,Millys,0.002690116
Italy,Monarch,0.003042456
Italy,NForester,0.002831281
Italy,Ottoway,0.00252386
Italy,Pear,0.002952273
Italy,Piute,0.001543339
Italy,Ritter,0.001929781
Italy,Ruby,0.001409316
Italy,SamMack,0.001936562
Italy,Selden,0.00147477
Italy,SForester,0.002944982
Italy,Sixty,0.002246399
Italy,Sphinx,0.002723851
Italy,Taboose,0.002150925
Italy,Treasure,0.001663442
Italy,Wright,0.003087492
Kuna,Kuna,0.001209517
Kuna,Lamarck,0.002595634
Kuna,Lyell,0.001783417
Kuna,Millys,0.003152743
Kuna,Monarch,0.003448441
Kuna,NForester,0.003274761
Kuna,Ottoway,0.001643348
Kuna,Pear,0.003366538
Kuna,Piute,0.002604162
Kuna,Ritter,0.002084509
Kuna,Ruby,0.002571228
Kuna,SamMack,0.002688117
Kuna,Selden,0.002666801
Kuna,SForester,0.003378983
Kuna,Sixty,0.002840996
Kuna,Sphinx,0.003202358
Kuna,Taboose,0.002793172
Kuna,Treasure,0.002553522
Kuna,Wright,0.003497897
Lamarck,Lamarck,0.001395969
Lamarck,Lyell,0.002301488
Lamarck,Millys,0.002605527
Lamarck,Monarch,0.002964336
Lamarck,NForester,0.002747482
Lamarck,Ottoway,0.002503134
Lamarck,Pear,0.002885807
Lamarck,Piute,0.001469669
Lamarck,Ritter,0.001975408
Lamarck,Ruby,0.001523339
Lamarck,SamMack,0.001812732
Lamarck,Selden,0.001577867
Lamarck,SForester,0.002863259
Lamarck,Sixty,0.002167066
Lamarck,Sphinx,0.002639749
Lamarck,Taboose,0.002055059
Lamarck,Treasure,0.001545821
Lamarck,Wright,0.003007559
Lyell,Lyell,0.001793819
Lyell,Millys,0.003010236
